title,law_url,sysid,law_group,law_type
พระราชบัญญัติให้อำนาจและกำหนดการปฏิบัติบางประการเกี่ยวกับสิทธิพิเศษถอนเงินในกองทุนการเงินระหว่างประเทศ พ.ศ. 2514 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=305903&ext=htm,305903,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติให้อำนาจปฏิบัติการเกี่ยวกับกองทุนการเงินและธนาคารระหว่างประเทศ พ.ศ. 2494 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=305851&ext=htm,305851,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติส่งเสริมกีฬาอาชีพ พ.ศ. 2556,https://www.krisdika.go.th/librarian/get?sysid=699747&ext=htm,699747,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติส่งเสริมศิลปะร่วมสมัย พ.ศ. 2551 ,https://www.krisdika.go.th/librarian/get?sysid=573039&ext=htm,573039,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติสถาบันคุ้มครองเงินฝาก พ.ศ. 2551 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=773801&ext=htm,773801,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติสถาบันคุ้มครองเงินฝาก พ.ศ. 2551,https://www.krisdika.go.th/librarian/get?sysid=571425&ext=htm,571425,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติสภาพัฒนาการเมือง พ.ศ. 2551 ,https://www.krisdika.go.th/librarian/get?sysid=570351&ext=htm,570351,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ พ.ศ. 2550 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=696572&ext=htm,696572,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติส่งเสริมการจัดสวัสดิการสังคม พ.ศ. 2546 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=568746&ext=htm,568746,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติส่งเสริมการพัฒนาฝีมือแรงงาน พ.ศ. 2545 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=724626&ext=htm,724626,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติส่งเสริมวิสาหกิจขนาดกลางและขนาดย่อม พ.ศ. 2543 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=395076&ext=htm,395076,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติสหกรณ์ พ.ศ. 2542 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=395080&ext=htm,395080,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติสถาบันพระปกเกล้า พ.ศ. 2541 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=320511&ext=htm,320511,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติสำนักงานสลากกินแบ่งรัฐบาล พ.ศ. 2517 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=729983&ext=htm,729983,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
